        1.00000    0.20114E+03    0.16852E-01    0.92760E-03
        2.00000    0.16766E+03   -0.20030E-01    0.18983E-02
        3.00000    0.76585E+02   -0.63907E-01    0.28948E-02
        4.00000    0.35476E+02   -0.48183E-02    0.39147E-02
        5.00000    0.20593E+02   -0.14772E-01    0.49635E-02
        6.00000    0.13866E+02    0.86152E-03    0.60477E-02
        7.00000    0.21509E+02   -0.17701E-02    0.71402E-02
        8.00000    0.12249E+02    0.50499E-02    0.82336E-02
        9.00000    0.33560E+01   -0.60211E-02    0.93377E-02
       10.00000   -0.14196E+01    0.59765E-02    0.10422E-01
       11.00000   -0.20963E+01   -0.10134E-02    0.11483E-01
       12.00000   -0.14735E+01    0.42289E-02    0.12518E-01
       13.00000   -0.37278E+01    0.48446E-02    0.13527E-01
       14.00000   -0.37370E+01   -0.33140E-02    0.14507E-01
       15.00000   -0.51463E+01    0.34668E-02    0.15482E-01
       16.00000   -0.43894E+01   -0.51887E-02    0.16436E-01
       17.00000   -0.21105E+01    0.37493E-03    0.17353E-01
       18.00000   -0.71027E+00   -0.34452E-02    0.18259E-01
       19.00000   -0.59762E+00   -0.34508E-02    0.19163E-01
       20.00000   -0.92705E+00   -0.28361E-03    0.20053E-01
       21.00000    0.12466E+00   -0.23711E-03    0.20929E-01
       22.00000   -0.11271E+00   -0.15350E-02    0.21790E-01
       23.00000    0.66221E+00    0.99671E-03    0.22641E-01
       24.00000    0.89139E+00   -0.23395E-04    0.23493E-01
       25.00000   -0.36021E-02    0.95930E-04    0.24359E-01
       26.00000   -0.56711E+00    0.58327E-03    0.25208E-01
       27.00000   -0.20013E+00    0.31086E-03    0.26030E-01
       28.00000    0.12227E+00    0.23165E-03    0.26842E-01
       29.00000   -0.31390E+00   -0.37379E-03    0.27644E-01
       30.00000    0.10025E-01   -0.39281E-03    0.28438E-01
       31.00000   -0.37505E+00    0.81851E-04    0.29221E-01
       32.00000   -0.54243E+00    0.48537E-04    0.29967E-01
       33.00000    0.12992E+00    0.34712E-03    0.30651E-01
       34.00000    0.52296E+00    0.19433E-03    0.31306E-01
       35.00000    0.31181E+00    0.47733E-03    0.31967E-01
       36.00000    0.28467E+00    0.49637E-03    0.32614E-01
       37.00000    0.64863E+00    0.20190E-03    0.33235E-01
       38.00000    0.55940E+00    0.12002E-03    0.33835E-01
       39.00000    0.97898E+00    0.51992E-04    0.34415E-01
       40.00000    0.12267E+01    0.15721E-04    0.34999E-01
       41.00000    0.84207E+00   -0.33625E-04    0.35602E-01
       42.00000    0.70487E+00   -0.13709E-03    0.36200E-01
       43.00000    0.93077E+00    0.12163E-04    0.36771E-01
       44.00000    0.98296E+00    0.24457E-03    0.37330E-01
       45.00000    0.85840E+00    0.12555E-04    0.37888E-01
       46.00000    0.97973E+00    0.56277E-03    0.38437E-01
       47.00000    0.71866E+00    0.90685E-03    0.38975E-01
       48.00000    0.61019E+00    0.14901E-02    0.39482E-01
       49.00000    0.93453E+00    0.16262E-02    0.39944E-01
       50.00000    0.10644E+01    0.10792E-02    0.40374E-01
       51.00000    0.85353E+00    0.44595E-03    0.40386E-01
       52.00000    0.88904E+00    0.43320E-03    0.40364E-01
       53.00000    0.10254E+01    0.65001E-03    0.40333E-01
       54.00000    0.10487E+01    0.54275E-03    0.40306E-01
       55.00000    0.13184E+01    0.72050E-03    0.40284E-01
       56.00000    0.14597E+01    0.11163E-02    0.40275E-01
