 TITLE = "GAUGE_position"
 VARIABLES =  "N", "X", "Y", "D_TOL", "D_ACTUAL" 
 ZONE T= "Model_position" I =          160
     11096   0.8938  -0.0003   0.0062   0.0062
     11009   0.9214  -0.0002   0.0114   0.0114
     11009   0.9214  -0.0002   0.0014   0.0014
     11008   0.9366  -0.0003   0.0066   0.0066
     11008   0.9366  -0.0003   0.0034   0.0034
     11008   0.9366  -0.0003   0.0134   0.0134
     10829   0.9704   0.0079   0.0130   0.0130
     10829   0.9704   0.0079   0.0079   0.0079
     10829   0.9704   0.0079   0.0124   0.0124
     10764   0.9989   0.0174   0.0195   0.0195
     10833   1.0086   0.0060   0.0105   0.0105
     10830   1.0399   0.0074   0.0125   0.0125
     10827   1.1098   0.0069   0.0120   0.0120
     10832   1.1435   0.0069   0.0095   0.0095
     11748   1.1973   0.0058   0.0063   0.0063
     11749   1.2563  -0.0051   0.0081   0.0081
     11751   1.2944  -0.0063   0.0084   0.0084
     10216   1.3470   0.0174   0.0176   0.0176
     10429   1.4096   0.0075   0.0122   0.0122
     10436   1.4476  -0.0071   0.0075   0.0075
     11740   1.5018   0.0067   0.0069   0.0069
     11742   1.5431   0.0046   0.0083   0.0083
     11743   1.6013  -0.0048   0.0050   0.0050
     11745   1.6416  -0.0046   0.0096   0.0096
     10226   1.7039   0.0022   0.0044   0.0044
     10200   1.7421  -0.0026   0.0083   0.0083
      9939   1.7914   0.0081   0.0118   0.0118
      9940   1.8340   0.0081   0.0180   0.0180
      9942   1.9147   0.0086   0.0170   0.0170
      9949   1.9548  -0.0081   0.0094   0.0094
      9948   1.9949  -0.0073   0.0089   0.0089
      9723   2.0547  -0.0141   0.0148   0.0148
      9946   2.1052   0.0030   0.0060   0.0060
     11727   2.1427  -0.0042   0.0084   0.0084
     11732   2.2073   0.0048   0.0087   0.0087
     11734   2.2475   0.0046   0.0053   0.0053
     11735   2.3051  -0.0049   0.0071   0.0071
     11737   2.3452  -0.0048   0.0068   0.0068
      9732   2.4077   0.0042   0.0088   0.0088
      9730   2.4470   0.0042   0.0052   0.0052
      9733   2.4968  -0.0060   0.0068   0.0068
      8511   2.5517  -0.0002   0.0017   0.0017
      7247   2.6103  -0.0000   0.0103   0.0103
      6013   2.6693  -0.0000   0.0193   0.0193
      5603   2.6892  -0.0000   0.0108   0.0108
      4401   2.7502  -0.0000   0.0002   0.0002
      3665   2.7918  -0.0000   0.0082   0.0082
      2541   2.8557  -0.0000   0.0057   0.0057
      1389   2.9214  -0.0000   0.0214   0.0214
       943   2.9437   0.0000   0.0063   0.0063
 ZONE T= "Gauge_position" I =          160
         1  -1.0000   0.0000   0.0108   0.0108
         2  -0.9500   0.0000   0.0034   0.0034
         3  -0.9000   0.0000   0.0136   0.0136
         4  -0.8500   0.0000   0.0174   0.0174
         5  -0.8000   0.0000   0.0140   0.0140
         6  -0.7500   0.0000   0.0147   0.0147
         7  -0.7000   0.0000   0.0098   0.0098
         8  -0.6500   0.0000   0.0057   0.0057
         9  -0.6000   0.0000   0.0053   0.0053
        10  -0.5500   0.0000   0.0046   0.0046
