-4.54955	0.997895
-3.64865	0.997895
-2.74775	0.989474
-1.93694	0.981053
-0.945946	0.896842
-0.495495	0.745263
-0.225225	0.568421
1.12613	-0.181053
1.21622	-0.265263
1.30631	-0.273684
1.48649	-0.08
1.75676	0.181053
1.93694	0.307368
2.20721	0.458947
2.38739	0.526316
2.65766	0.602105
2.92793	0.618947
3.1982	0.652632
3.37838	0.694737
3.64865	0.72
3.82883	0.745263
4.00901	0.753684
4.36937	0.770526
4.63964	0.778947
5	    0.821053
5.45045	0.804211
6.35135	0.821053
7.34234	0.846316
8.24324	0.854737
9.05405	0.88
9.95495	0.905263
10.9459	0.88
11.8468	0.896842
12.7477	0.888421
13.6486	0.905263
15.9009	0.88
18.2432	0.922105
20.5856	0.938947
