      5.39670071      0.00432099
      6.00942655      0.00185185
      6.81068342      0.00185185
      7.49410841      0.00185185
      8.22466614      0.00185185
      8.88452474     -0.00246914
      9.33228594     -0.00802469
     10.06284368     -0.01790123
     10.74626866     -0.02839506
     11.40612726     -0.03641975
     11.92458759     -0.03765432
     12.30164965     -0.00864198
     12.60801257      0.02160494
     12.91437549      0.05740741
     13.29143755      0.08456790
     13.76276512      0.11049383
     13.92772977      0.12345679
     14.49332286      0.13950617
     15.17674784      0.14629630
     15.83660644      0.14814815
     16.59073056      0.15246914
     17.13275727      0.14876543
     17.83974863      0.13950617
     18.45247447      0.12777778
     19.13589945      0.11358025
     19.91358995      0.11049383
     20.31421838      0.09567901
     21.04477612      0.07962963
     21.65750196      0.05987654
     22.38805970      0.03703704
     23.21288295     -0.01111111
     23.89630793     -0.02839506
     24.55616654     -0.01049383
     25.21602514      0.00617284
     26.34721131     -0.01604938
     26.93637078     -0.01728395
     27.73762765     -0.00802469
     28.42105263      0.00987654
     29.36370778     -0.00123457
     29.90573449     -0.00740741
